Date,Équipe Extérieure,Équipe Extérieure Abréviation,Équipe Domicile,Équipe Domicile Abréviation,Lieu,Début UTC
2024-12-12,Ducks,ANA,Maple Leafs,TOR,Scotiabank Arena,2024-12-13T00:00:00Z
2024-12-12,Penguins,PIT,Canadiens,MTL,Centre Bell,2024-12-13T00:00:00Z
2024-12-12,Kings,LAK,Devils,NJD,Prudential Center,2024-12-13T00:00:00Z
2024-12-12,Red Wings,DET,Flyers,PHI,Wells Fargo Center,2024-12-13T00:00:00Z
2024-12-12,Capitals,WSH,Blue Jackets,CBJ,Nationwide Arena,2024-12-13T00:00:00Z
2024-12-12,Blackhawks,CHI,Islanders,NYI,UBS Arena,2024-12-13T00:30:00Z
2024-12-12,Sharks,SJS,Blues,STL,Enterprise Center,2024-12-13T01:00:00Z
2024-12-12,Predators,NSH,Stars,DAL,American Airlines Center,2024-12-13T01:00:00Z
2024-12-12,Golden Knights,VGK,Jets,WPG,Canada Life Centre,2024-12-13T01:00:00Z
2024-12-12,Oilers,EDM,Wild,MIN,Xcel Energy Center,2024-12-13T01:30:00Z
2024-12-12,Utah Hockey Club,UTA,Avalanche,COL,Ball Arena,2024-12-13T02:00:00Z
2024-12-12,Lightning,TBL,Flames,CGY,Scotiabank Saddledome,2024-12-13T02:00:00Z
2024-12-12,Panthers,FLA,Canucks,VAN,Rogers Arena,2024-12-13T03:00:00Z
2024-12-12,Bruins,BOS,Kraken,SEA,Climate Pledge Arena,2024-12-13T03:00:00Z
2024-12-13,Senators,OTT,Hurricanes,CAR,Lenovo Center,2024-12-14T00:00:00Z
2024-12-14,Blackhawks,CHI,Devils,NJD,Prudential Center,2024-12-14T18:00:00Z
2024-12-14,Kings,LAK,Rangers,NYR,Madison Square Garden,2024-12-14T18:00:00Z
2024-12-14,Flyers,PHI,Wild,MIN,Xcel Energy Center,2024-12-14T19:00:00Z
2024-12-14,Golden Knights,VGK,Oilers,EDM,Rogers Place,2024-12-14T21:00:00Z
2024-12-14,Penguins,PIT,Senators,OTT,Canadian Tire Centre,2024-12-15T00:00:00Z
2024-12-14,Maple Leafs,TOR,Red Wings,DET,Little Caesars Arena,2024-12-15T00:00:00Z
2024-12-14,Sabres,BUF,Capitals,WSH,Capital One Arena,2024-12-15T00:00:00Z
2024-12-14,Ducks,ANA,Blue Jackets,CBJ,Nationwide Arena,2024-12-15T00:00:00Z
2024-12-14,Canadiens,MTL,Jets,WPG,Canada Life Centre,2024-12-15T00:00:00Z
2024-12-14,Blues,STL,Stars,DAL,American Airlines Center,2024-12-15T01:00:00Z
2024-12-14,Predators,NSH,Avalanche,COL,Ball Arena,2024-12-15T02:00:00Z
2024-12-14,Panthers,FLA,Flames,CGY,Scotiabank Saddledome,2024-12-15T03:00:00Z
2024-12-14,Bruins,BOS,Canucks,VAN,Rogers Arena,2024-12-15T03:00:00Z
2024-12-14,Utah Hockey Club,UTA,Sharks,SJS,SAP Center at San Jose,2024-12-15T03:00:00Z
2024-12-14,Lightning,TBL,Kraken,SEA,Climate Pledge Arena,2024-12-15T03:00:00Z
2024-12-15,Islanders,NYI,Blackhawks,CHI,United Center,2024-12-15T20:00:00Z
2024-12-15,Sabres,BUF,Maple Leafs,TOR,Scotiabank Arena,2024-12-15T22:00:00Z
2024-12-15,Blue Jackets,CBJ,Hurricanes,CAR,Lenovo Center,2024-12-15T22:00:00Z
2024-12-15,Rangers,NYR,Blues,STL,Enterprise Center,2024-12-15T23:00:00Z
2024-12-15,Golden Knights,VGK,Wild,MIN,Xcel Energy Center,2024-12-15T23:00:00Z
2024-12-16,Capitals,WSH,Stars,DAL,American Airlines Center,2024-12-17T01:00:00Z
2024-12-16,Panthers,FLA,Oilers,EDM,Rogers Place,2024-12-17T01:30:00Z
2024-12-16,Avalanche,COL,Canucks,VAN,Rogers Arena,2024-12-17T03:30:00Z
2024-12-17,Sabres,BUF,Canadiens,MTL,Centre Bell,2024-12-18T00:00:00Z
2024-12-17,Blue Jackets,CBJ,Lightning,TBL,Amalie Arena,2024-12-18T00:00:00Z
2024-12-17,Kings,LAK,Penguins,PIT,PPG Paints Arena,2024-12-18T00:00:00Z
2024-12-17,Islanders,NYI,Hurricanes,CAR,Lenovo Center,2024-12-18T00:30:00Z
2024-12-17,Devils,NJD,Blues,STL,Enterprise Center,2024-12-18T01:00:00Z
2024-12-17,Rangers,NYR,Predators,NSH,Bridgestone Arena,2024-12-18T01:00:00Z
2024-12-17,Capitals,WSH,Blackhawks,CHI,United Center,2024-12-18T01:30:00Z
2024-12-17,Bruins,BOS,Flames,CGY,Scotiabank Saddledome,2024-12-18T02:00:00Z
2024-12-17,Senators,OTT,Kraken,SEA,Climate Pledge Arena,2024-12-18T03:00:00Z
2024-12-17,Jets,WPG,Sharks,SJS,SAP Center at San Jose,2024-12-18T03:30:00Z
2024-12-18,Flyers,PHI,Red Wings,DET,Little Caesars Arena,2024-12-19T00:00:00Z
2024-12-18,Maple Leafs,TOR,Stars,DAL,American Airlines Center,2024-12-19T00:30:00Z
2024-12-18,Panthers,FLA,Wild,MIN,Xcel Energy Center,2024-12-19T02:30:00Z
2024-12-18,Canucks,VAN,Utah Hockey Club,UTA,Delta Center,2024-12-19T03:00:00Z
2024-12-18,Jets,WPG,Ducks,ANA,Honda Center,2024-12-19T03:00:00Z
